neighbourhood,Number_of_Listings,Number_of_Hosts,Number_of_Neighbours,Average_Price,Average_Number_of_Nights,Average_Number_of_Reviews,Average_number_of_Reviews_per_Month,AVerage_Host_List_Count,Average_Availability
Allerton,37,24,1,90.59,2,48,1.83,2,171
Arden Heights,4,4,1,67.25,9,7,1.04,1,94
Arrochar,20,10,1,118.25,2,15,1.11,4,259
Arverne,66,53,1,158.52,1,34,1.77,1,193
Astoria,709,584,1,116.02,5,27,1.27,2,117
Bath Beach,15,13,1,84.8,2,24,1.61,1,173
Battery Park City,36,36,1,182.19,10,16,0.68,7,71
Bay Ridge,115,92,1,105.37,9,22,1.57,1,153
Bay Terrace,5,4,1,118.8,2,49,1.12,1,194
"Bay Terrace, Staten Island",2,2,1,102.5,16,1,0.45,1,0
Baychester,6,4,1,78,2,51,2.21,1,184
Bayside,31,20,1,178.13,3,29,2.3,2,184
Bayswater,11,10,1,92.27,4,17,1.97,1,205
Bedford-Stuyvesant,3141,2342,1,105.96,4,35,1.55,2,123
Belle Harbor,5,4,1,166.4,1,14,1.64,1,279
Bellerose,8,7,1,80.5,1,14,0.83,1,259
Belmont,20,15,1,79.45,2,14,1.89,1,210
Bensonhurst,61,46,1,77.21,4,30,1.58,2,146
Bergen Beach,8,8,1,105.75,3,25,1.87,1,150
Boerum Hill,147,127,1,167.76,7,29,1.01,2,84
Borough Park,110,64,1,64.4,2,20,1.3,3,154
Breezy Point,2,1,1,195,1,2,0.22,2,109
Briarwood,45,29,1,101.24,1,27,1.68,3,180
Brighton Beach,59,46,1,87.29,3,22,1.71,2,167
Bronxdale,16,15,1,51.88,2,28,1.92,1,161
Brooklyn Heights,124,121,1,201.96,5,20,0.89,1,67
Brownsville,56,43,1,75.59,2,34,1.63,2,125
Bull's Head,3,2,1,48,1,30,2.42,1,120
Bushwick,1944,1515,1,85.12,4,27,1.35,2,98
Cambria Heights,16,14,1,83.44,2,30,2.06,1,129
Canarsie,135,95,1,96.24,2,39,2.15,2,218
Carroll Gardens,198,177,1,178.9,4,29,1.08,1,76
Castle Hill,2,2,1,74,2,59,2.77,1,106
Castleton Corners,2,2,1,182,2,50,1.93,1,195
Chelsea,828,719,1,221.79,8,28,1.25,6,103
Chinatown,321,286,1,157.46,5,30,1.37,1,95
City Island,15,14,1,94.27,1,50,2.05,1,136
Civic Center,30,28,1,169.83,5,21,0.78,3,66
Claremont Village,16,12,1,68.94,25,21,1.92,2,138
Clason Point,18,13,1,101.33,2,17,1.6,2,221
Clifton,13,9,1,84.92,1,54,1.97,3,212
Clinton Hill,480,415,1,176.16,5,30,0.97,1,106
Co-op City,2,2,1,77.5,2,17,0.24,7,364
Cobble Hill,88,82,1,193.43,6,32,1.2,1,65
College Point,15,14,1,93,2,29,2.38,1,147
Columbia St,35,32,1,133.57,5,19,1.01,1,73
Concord,24,10,1,60.58,5,27,1.51,4,273
Concourse,41,35,1,77.95,2,40,1.8,1,173
Concourse Village,24,23,1,73.17,3,33,1.4,1,180
Coney Island,15,8,1,125.6,3,24,1.08,4,152
Corona,59,32,1,56.93,2,30,2.01,3,242
Crown Heights,1265,1047,1,111.63,5,28,1.23,1,104
Cypress Hills,125,85,1,130.97,6,35,2,2,170
Ditmars Steinway,248,202,1,92.71,3,31,1.5,1,129
